rank,rating,company,domain,primary_country,category,fit_reason,apollo_employee_filter,target_persona_1,target_persona_2,target_persona_3,apollo_notes
29,5,Krea,krea.ai,United States,AI image/video creation,"Visual AI creation tool, very close to artist-led gift","150+ preferred","Chief of Staff / CEO Office","COO / Operations","Brand / Partnerships","Verify size"
30,5,Suno,suno.com,United States,AI music,"AI music creator platform, artist narrative is obvious","150+ preferred","Chief of Staff / CEO Office","COO / Operations","Brand / Partnerships","Use music/local artist angle"
31,5,Udio,udio.com,United States,AI music,"AI music company with creator/investor narrative","150+ preferred","Chief of Staff / CEO Office","COO / Operations","Brand / Partnerships","Verify size"
32,5,Splice,splice.com,United States,Music creation,"Music creator platform with artist-community fit","150+ preferred","Chief of Staff / CEO Office","Head of Operations","VP Brand / Partnerships","Strong music artist angle"
33,5,Output,output.com,United States,Music creation,"Premium music software/hardware aesthetic","150+ preferred","Chief of Staff / CEO Office","COO / Operations","VP Brand / Partnerships","Premium object fit"
34,5,Arturia,arturia.com,France,Music hardware/software,"Premium creative tools brand; physical object logic fits","150+ preferred","Chief of Staff / CEO Office","COO / Operations","Brand Partnerships","France local artist angle"
35,5,Tracklib,tracklib.com,Sweden,Music licensing,"Music sampling/licensing; artist-led fit","150+ preferred","Chief of Staff / CEO Office","COO / Operations","Partnerships","Verify size"
36,5,Musicbed,musicbed.com,United States,Music licensing,"Curated music licensing, premium creator brand","150+ preferred","Chief of Staff / CEO Office","Head of Operations","Brand / Partnerships","Good if Apollo has contacts"
37,5,Soundstripe,soundstripe.com,United States,Music licensing,"Music creator platform with gifting relevance","150+ preferred","Chief of Staff / CEO Office","COO / Operations","Partnerships","Use music creator angle"
38,5,LANDR,landr.com,Canada,Music creation,"Music creator tooling and distribution","150+ preferred","Chief of Staff / CEO Office","COO / Operations","Brand / Partnerships","Canada artist angle"
39,5,BeatStars,beatstars.com,United States,Music marketplace,"Producer marketplace; artist community fit","150+ preferred","Chief of Staff / CEO Office","COO / Operations","Partnerships","Verify size"
40,5,Bandcamp,bandcamp.com,United States,Music marketplace,"Artist-first music platform, very strong story","150+ preferred","Chief of Staff / CEO Office","Operations","Brand / Partnerships","Ownership changes may affect buyer path"
41,5,Dribbble,dribbble.com,Canada,Design community,"Designer community, direct artist/design fit","150+ preferred","Chief of Staff / CEO Office","COO / Operations","Brand / Community","Community angle"
42,5,Behance,behance.net,United States,Design community,"Artist/design community; direct curation logic","150+ preferred","Chief of Staff / CEO Office","Brand Partnerships","Community / Events","May route through Adobe"
43,5,Creative Market,creativemarket.com,United States,Creative assets,"Creative asset marketplace with artist sellers","150+ preferred","Chief of Staff / CEO Office","COO / Operations","Brand / Partnerships","Artist marketplace story"
44,5,Envato,envato.com,Australia,Creative marketplace,"Creator marketplace, strong Australia/local artist fit","150+ preferred","Chief of Staff / CEO Office","COO / Operations","Brand Partnerships","Good AU angle"
45,5,Freepik,freepik.com,Spain,Creative assets,"Large creative asset ecosystem, local Spain angle","150+ preferred","Chief of Staff / CEO Office","COO / Operations","Brand / Partnerships","Strong EU creative platform"
46,5,99designs,99designs.com,Australia,Design marketplace,"Designer marketplace, artist-led gift logic","150+ preferred","Chief of Staff / CEO Office","COO / Operations","Brand / Partnerships","May route through Vista"
47,5,Noun Project,thenounproject.com,United States,Design assets,"Icon/design community, artist contributor story","150+ preferred","Chief of Staff / CEO Office","COO / Operations","Brand / Community","Verify size"
48,5,Unsplash,unsplash.com,Canada,Photography community,"Photography creator community, strong visual gift fit","150+ preferred","Chief of Staff / CEO Office","Brand / Partnerships","Community / Events","May route through Getty"
49,5,Pond5,pond5.com,United States,Stock media,"Media marketplace with creator/artist supplier base","150+ preferred","Chief of Staff / CEO Office","COO / Operations","Brand / Partnerships","Good but more marketplace than brand"
50,5,EyeEm,eyeem.com,Germany,Photography marketplace,"Photography marketplace, local artist angle","150+ preferred","Chief of Staff / CEO Office","COO / Operations","Brand / Partnerships","Verify company status"
51,4,Vimeo,vimeo.com,United States,Video platform,"Creator/video platform with premium brand history","150+ preferred","Chief of Staff / CEO Office","Operations","Brand Partnerships","Large; be targeted"
52,4,Frame.io,frame.io,United States,Video collaboration,"Creative collaboration for video teams","150+ preferred","Chief of Staff / CEO Office","Operations","Brand / Partnerships","May route through Adobe"
53,4,Descript,descript.com,United States,Video/audio editing,"Creator editing tool with strong founder/investor profile","150+ preferred","Chief of Staff / CEO Office","COO / Operations","Brand / Partnerships","Good AI/video angle"
54,4,Riverside,riverside.fm,Israel,Video/podcast creation,"Creator recording platform; Israel local artist angle","150+ preferred","Chief of Staff / CEO Office","COO / Operations","Brand / Partnerships","Good podcast/creator fit"
55,4,Veed.io,veed.io,United Kingdom,Video editing,"Creator video editing product with brand/growth teams","150+ preferred","Chief of Staff / CEO Office","COO / Operations","Brand / Partnerships","UK artist angle"
56,4,Kapwing,kapwing.com,United States,Video editing,"Creator editing platform, good but may be smaller","150+ preferred","Chief of Staff / CEO Office","COO / Operations","Brand / Partnerships","Verify size"
57,4,Photoroom,photoroom.com,France,Image editing,"Creator/product image platform with design angle","150+ preferred","Chief of Staff / CEO Office","COO / Operations","Brand / Partnerships","France local artist angle"
58,4,Synthesia,synthesia.io,United Kingdom,AI video,"AI video company with strong enterprise/investor profile","150+ preferred","Chief of Staff / CEO Office","COO / Operations","Brand / Partnerships","More corporate; still premium"
59,4,HeyGen,heygen.com,United States,AI video,"AI video/avatar company with strong growth/investor attention","150+ preferred","Chief of Staff / CEO Office","COO / Operations","Brand / Partnerships","More corporate than artistic"
60,4,LTX Studio,ltx.studio,Israel,AI video,"Storyboard/video creation, artist-driven angle","150+ preferred","Chief of Staff / CEO Office","COO / Operations","Brand / Partnerships","May route through Lightricks"
61,4,Wonder Dynamics,wonderdynamics.com,United States,VFX/AI,"Creative VFX AI, film/art angle","150+ preferred","Chief of Staff / CEO Office","COO / Operations","Brand / Partnerships","Verify size"
62,4,Higgsfield,higgsfield.ai,United States,AI video,"Creator/social AI video platform","150+ preferred","Chief of Staff / CEO Office","COO / Operations","Brand / Partnerships","Verify size"
63,4,Genmo,genmo.ai,United States,AI video,"Creative AI video platform","150+ preferred","Chief of Staff / CEO Office","COO / Operations","Brand / Partnerships","Verify size"
64,4,Kling AI,klingai.com,China,AI video,"Creative AI video tool; market fit but harder outbound path","150+ preferred","Chief of Staff / CEO Office","COO / Operations","Brand / Partnerships","Lower due geography/access"
65,4,ElevenLabs,elevenlabs.io,United States,AI audio,"AI voice/audio with creator and investor relevance","150+ preferred","Chief of Staff / CEO Office","COO / Operations","Brand / Partnerships","Audio artist angle"
66,4,Mubert,mubert.com,United States,AI music,"AI music generation, artist-led story","150+ preferred","Chief of Staff / CEO Office","COO / Operations","Brand / Partnerships","Verify size"
67,4,Soundation,soundation.com,Sweden,Music creation,"Browser music creation; Nordic artist angle","150+ preferred","Chief of Staff / CEO Office","COO / Operations","Brand / Partnerships","Verify size"
68,4,Boombox,boombox.io,United States,Music collaboration,"Music collaboration, creator fit","150+ preferred","Chief of Staff / CEO Office","COO / Operations","Partnerships","Verify size"
69,4,Soundtrap,soundtrap.com,Sweden,Music creation,"Music creation tool, education/creator angle","150+ preferred","Chief of Staff / CEO Office","Operations","Brand / Partnerships","May route through Spotify"
70,4,MasterClass,masterclass.com,United States,Creative learning,"Premium creator/learning brand, gifting fit","150+ preferred","Chief of Staff / CEO Office","COO / Operations","Brand Partnerships","Premium angle"
71,4,Skillshare,skillshare.com,United States,Creative learning,"Creative learning community, artist/instructor network","150+ preferred","Chief of Staff / CEO Office","COO / Operations","Brand / Partnerships","Artist community angle"
72,4,Domestika,domestika.org,Spain,Creative learning,"Creative learning platform with artist teachers","150+ preferred","Chief of Staff / CEO Office","COO / Operations","Brand / Partnerships","Spain/local artist fit"
73,4,Teachable,teachable.com,United States,Creator education,"Creator business platform, investor gifting possible","150+ preferred","Chief of Staff / CEO Office","COO / Operations","Brand / Partnerships","Less artistic than Skillshare"
74,4,Kajabi,kajabi.com,United States,Creator monetization,"Creator business platform with scale","150+ preferred","Chief of Staff / CEO Office","COO / Operations","Brand / Partnerships","Good but more business than art"
75,4,Thinkific,thinkific.com,Canada,Creator education,"Course creator platform, decent creator fit","150+ preferred","Chief of Staff / CEO Office","COO / Operations","Brand / Partnerships","Canada angle"
76,4,Podia,podia.com,United States,Creator commerce,"Creator platform, founder-led fit","150+ preferred","Chief of Staff / CEO Office","COO / Operations","Brand / Partnerships","Verify size"
77,4,Circle,circle.so,United States,Community platform,"Creator/community platform with investor/community angle","150+ preferred","Chief of Staff / CEO Office","COO / Operations","Community / Partnerships","Community angle"
78,4,Mighty Networks,mightynetworks.com,United States,Community platform,"Creator community platform","150+ preferred","Chief of Staff / CEO Office","COO / Operations","Community / Partnerships","Good but less visual"
79,4,Patreon,patreon.com,United States,Creator monetization,"Creator economy leader with artist community","150+ preferred","Chief of Staff / CEO Office","COO / Operations","Brand / Partnerships","Large; be specific"
80,4,Substack,substack.com,United States,Creator publishing,"Creator/writer platform, investor relationship angle","150+ preferred","Chief of Staff / CEO Office","Operations","Brand / Partnerships","Less visual but strong creator economy"
81,4,Linktree,linktr.ee,Australia,Creator tools,"Creator profile platform, Australia angle","150+ preferred","Chief of Staff / CEO Office","COO / Operations","Brand Partnerships","Good creator reach"
82,4,Fourthwall,fourthwall.com,United States,Creator commerce,"Creator merch/product company, physical gift story fits","150+ preferred","Chief of Staff / CEO Office","COO / Operations","Partnerships","Strong object/product overlap"
83,4,Stan,stan.store,United States,Creator monetization,"Creator commerce platform","150+ preferred","Chief of Staff / CEO Office","COO / Operations","Brand / Partnerships","Verify size"
84,4,Beacons,beacons.ai,United States,Creator monetization,"Creator business platform","150+ preferred","Chief of Staff / CEO Office","COO / Operations","Brand / Partnerships","Verify size"
85,4,Passionfroot,passionfroot.me,Germany,Creator partnerships,"Creator sponsorship marketplace; partnerships angle strong","150+ preferred","Chief of Staff / CEO Office","COO / Operations","Partnerships","Verify size"
86,4,Contra,contra.com,United States,Freelance creator platform,"Creator/professional marketplace","150+ preferred","Chief of Staff / CEO Office","COO / Operations","Brand / Partnerships","Good but not necessarily investor gifting"
87,4,Gumroad,gumroad.com,United States,Creator commerce,"Creator commerce, founder-led but likely smaller team","150+ preferred","Chief of Staff / CEO Office","Operations","Brand / Partnerships","Verify size"
88,4,Buy Me a Coffee,buymeacoffee.com,United States,Creator monetization,"Creator monetization platform","150+ preferred","Chief of Staff / CEO Office","COO / Operations","Brand / Partnerships","Verify size"
89,4,Memberful,memberful.com,United States,Creator membership,"Creator membership platform","150+ preferred","Chief of Staff / CEO Office","Operations","Partnerships","May route through Patreon"
90,4,Product Hunt,producthunt.com,United States,Startup community,"Startup/investor community, founder network angle","150+ preferred","Chief of Staff / CEO Office","Operations","Community / Partnerships","Less artist-led, strong investor network"
91,4,Whatnot,whatnot.com,United States,Live commerce/collectibles,"Collectors/creator commerce, premium object fit","150+ preferred","Chief of Staff / CEO Office","Operations","Brand Partnerships","Great collectible angle"
92,4,Sorare,sorare.com,France,Collectibles/gaming,"Digital collectibles, investor gift concept can work","150+ preferred","Chief of Staff / CEO Office","Operations","Brand Partnerships","France local artist angle"
93,4,Hypebeast,hypebeast.com,Hong Kong,Culture/media,"Streetwear/culture brand, object/gift fit","150+ preferred","Chief of Staff / CEO Office","Brand Partnerships","Operations","High culture fit but not software"
94,4,Complex Networks,complex.com,United States,Culture/media,"Culture/media with brand partnerships","150+ preferred","Chief of Staff / CEO Office","Brand Partnerships","Operations","More media than tech"
95,4,A24,a24films.com,United States,Film/media,"Premium taste, artist-led objects fit beautifully","150+ preferred","Chief of Staff / CEO Office","Brand / Partnerships","Operations","Harder buyer path"
96,4,Letterboxd,letterboxd.com,New Zealand,Film community,"Film community, premium culture fit","150+ preferred","Chief of Staff / CEO Office","COO / Operations","Brand Partnerships","May be under threshold"
97,4,Pinterest,pinterest.com,United States,Visual discovery,"Visual inspiration and creator/design relevance","150+ preferred","Chief of Staff / CEO Office","Corporate Development","Brand Partnerships","Very large; use as lower-priority enterprise"
98,4,Discord,discord.com,United States,Community platform,"Creator/community platform with investor/event angle","150+ preferred","Chief of Staff / CEO Office","Operations","Brand Partnerships","Large but relevant"
99,4,Overwolf,overwolf.com,Israel,Creator gaming tools,"Game creator platform, Israel angle","150+ preferred","Chief of Staff / CEO Office","COO / Operations","Brand Partnerships","Good creator/gaming angle"
100,4,Roblox,roblox.com,United States,Creator gaming platform,"Massive creator platform, brand/community relevance","150+ preferred","Chief of Staff / CEO Office","Corporate Development","Brand Partnerships","Very large; use precise title only"
101,4,Supercell,supercell.com,Finland,Games,"Creative game studio with premium culture fit","150+ preferred","Chief of Staff / CEO Office","Operations","Brand Partnerships","Finland artist angle"
102,4,Riot Games,riotgames.com,United States,Games/entertainment,"Creative entertainment company with gifting budgets","150+ preferred","Chief of Staff / CEO Office","Operations","Brand Partnerships","Large; not first wave"
103,4,Moon Active,moonactive.com,Israel,Games,"Israel gaming company, possible investor/partner gifting","150+ preferred","Chief of Staff / CEO Office","COO / Operations","Brand Partnerships","Good local angle"
104,4,Playtika,playtika.com,Israel,Games,"Israel gaming company at scale","150+ preferred","Chief of Staff / CEO Office","COO / Operations","Brand Partnerships","Large; targeted only"
105,4,Miniclip,miniclip.com,Switzerland,Games,"Creative game company with global footprint","150+ preferred","Chief of Staff / CEO Office","Operations","Brand Partnerships","Good but less creator-led"
106,4,Dapper Labs,dapperlabs.com,Canada,Collectibles/gaming,"Digital collectibles, investor gift logic","150+ preferred","Chief of Staff / CEO Office","Operations","Brand Partnerships","Market context may be mixed"
107,4,The Fabricant,thefabricant.com,Netherlands,Digital fashion,"Artist/design-forward digital fashion","150+ preferred","Chief of Staff / CEO Office","Operations","Brand Partnerships","May be under threshold"
108,4,Clo3D,clo3d.com,South Korea,3D fashion design,"Creative 3D fashion design platform","150+ preferred","Chief of Staff / CEO Office","COO / Operations","Brand Partnerships","Strong design/fashion angle"
109,4,Browzwear,browzwear.com,Israel,3D fashion design,"Israel design/fashion software, local artist angle","150+ preferred","Chief of Staff / CEO Office","COO / Operations","Brand Partnerships","Niche but aligned"
110,4,CLO Virtual Fashion,clovirtualfashion.com,South Korea,3D fashion design,"3D design/fashion platform","150+ preferred","Chief of Staff / CEO Office","COO / Operations","Brand Partnerships","Use fashion artist angle"
111,4,Brandfolder,brandfolder.com,United States,DAM/brand assets,"Brand asset platform, brand teams as buyer proxies","150+ preferred","Chief of Staff / CEO Office","Operations","VP Brand / Partnerships","May route through Smartsheet"
112,4,Bynder,bynder.com,Netherlands,DAM/brand assets,"Dutch brand asset platform, brand/design audience","150+ preferred","Chief of Staff / CEO Office","Operations","VP Brand / Partnerships","Good Netherlands angle"
113,4,Ceros,ceros.com,United States,Interactive content,"Creative content software for brand teams","150+ preferred","Chief of Staff / CEO Office","Operations","VP Brand / Partnerships","Good brand-led fit"
114,4,Issuu,issuu.com,United States,Digital publishing,"Publishing/design platform, creator audience","150+ preferred","Chief of Staff / CEO Office","Operations","Brand Partnerships","Good but less premium"
115,4,Pics.io,pics.io,United States,DAM/creative assets,"Creative asset management, design team relevance","150+ preferred","Chief of Staff / CEO Office","Operations","Brand Partnerships","Verify size"
116,4,Vecteezy,vecteezy.com,United States,Creative assets,"Creative asset marketplace, artist contributor story","150+ preferred","Chief of Staff / CEO Office","Operations","Brand / Partnerships","Good artist marketplace"
117,4,Iconfinder,iconfinder.com,Denmark,Design assets,"Danish icon/design marketplace","150+ preferred","Chief of Staff / CEO Office","Operations","Brand / Partnerships","May be under threshold"
118,4,StreamYard,streamyard.com,United States,Creator video/live,"Creator streaming tool, event/gifting relevance","150+ preferred","Chief of Staff / CEO Office","Operations","Brand Partnerships","May route through Hopin"
119,4,Restream,restream.io,United States,Creator video/live,"Creator streaming distribution platform","150+ preferred","Chief of Staff / CEO Office","Operations","Brand Partnerships","Good creator angle"
120,4,Streamlabs,streamlabs.com,United States,Creator streaming,"Creator streaming tooling","150+ preferred","Chief of Staff / CEO Office","Operations","Brand Partnerships","May route through Logitech"
121,3,Adobe,adobe.com,United States,Creative software,"Huge creative company, strong fit but hard to penetrate","150+ preferred","Chief of Staff / CEO Office","Corporate Development","Brand Partnerships","Enterprise; not first wave"
122,3,Corel,coreldraw.com,Canada,Creative software,"Design software, relevant but older enterprise path","150+ preferred","Chief of Staff / CEO Office","Operations","Brand Partnerships","Lower priority"
123,3,Autodesk,autodesk.com,United States,Design/3D software,"Creative/pro design audience, but enterprise-heavy","150+ preferred","Chief of Staff / CEO Office","Corporate Development","Brand Partnerships","Enterprise; targeted only"
124,3,Unity,unity.com,United States,Game/3D platform,"Creator/developer ecosystem, but large enterprise path","150+ preferred","Chief of Staff / CEO Office","Corporate Development","Brand Partnerships","Enterprise; not first wave"
125,3,Epic Games,epicgames.com,United States,Game/3D platform,"Creator ecosystem, but very large and noisy","150+ preferred","Chief of Staff / CEO Office","Corporate Development","Brand Partnerships","Enterprise; not first wave"
126,3,Houzz,houzz.com,United States,Design/home platform,"Design/home marketplace, less investor-gift specific","150+ preferred","Chief of Staff / CEO Office","Operations","Brand Partnerships","Good visual angle"
127,3,ShopMy,shopmy.us,United States,Creator commerce,"Creator/commerce fit but less art-first","150+ preferred","Chief of Staff / CEO Office","Operations","Brand Partnerships","Good influencer angle"
128,3,Pietra,pietrastudio.com,United States,Creator commerce,"Creator product platform, physical object overlap","150+ preferred","Chief of Staff / CEO Office","Operations","Partnerships","Verify size"
129,3,Agentio,agentio.com,United States,Creator ads,"Creator monetization/ads, less artist-led","150+ preferred","Chief of Staff / CEO Office","Operations","Partnerships","Verify size"
130,3,Cameo,cameo.com,United States,Creator marketplace,"Creator platform, gift angle but less artist-object fit","150+ preferred","Chief of Staff / CEO Office","Operations","Brand Partnerships","Use later"
131,3,Passes,passes.com,United States,Creator monetization,"Creator platform but potentially less brand-safe","150+ preferred","Chief of Staff / CEO Office","Operations","Brand Partnerships","Use caution"
132,3,Captions,captions.ai,United States,AI video editing,"Creator AI video app, good but maybe smaller","150+ preferred","Chief of Staff / CEO Office","Operations","Brand / Partnerships","Verify size"
133,3,Tome,tome.app,United States,AI storytelling,"Storytelling/presentation fit but company signal uncertain","150+ preferred","Chief of Staff / CEO Office","Operations","Brand / Partnerships","Verify domain/company carefully"
134,3,Beehiiv,beehiiv.com,United States,Creator publishing,"Newsletter creator platform, less visual but creator-led","150+ preferred","Chief of Staff / CEO Office","Operations","Brand / Partnerships","Good if investor/growth stage"
135,3,ConvertKit,kit.com,United States,Creator marketing,"Creator platform, less visual/artistic","150+ preferred","Chief of Staff / CEO Office","Operations","Brand / Partnerships","Now Kit; use current brand"
136,3,Stationhead,stationhead.com,United States,Music/community,"Music community platform, artist angle but smaller","150+ preferred","Chief of Staff / CEO Office","Operations","Partnerships","Verify size"
137,3,Supercast,supercast.com,Canada,Podcast monetization,"Creator monetization, less visual","150+ preferred","Chief of Staff / CEO Office","Operations","Partnerships","Verify size"
138,3,Crowdcast,crowdcast.io,United States,Creator events,"Creator events platform, gifting use case exists","150+ preferred","Chief of Staff / CEO Office","Operations","Partnerships","Verify size"
139,3,Hopin,hopin.com,United Kingdom,Events platform,"Event platform, gifting use case direct but less creative","150+ preferred","Chief of Staff / CEO Office","Operations","Partnerships","Verify current structure"
140,3,Flipsnack,flipsnack.com,Romania,Publishing/design,"Publishing/design tool, regional artist angle","150+ preferred","Chief of Staff / CEO Office","Operations","Brand / Partnerships","Verify size"
